account_age_months,avg_orders_per_month,avg_order_value,returns_rate,support_tickets_6m,reviews_submitted,website_visits_per_month,cart_abandonment_rate,loyalty_member,payment_failures_12m,device_type,discount_usage_rate,days_since_last_active,satisfaction_score,churn
30.0,2.71,10.0,0.184,2,0,14,0.593,0,0,1,0.117,13,7,1
22.0,2.93,38.08,0.038,4,5,6,0.652,1,0,2,0.306,1,8,0
32.0,3.13,54.45,0.196,3,0,5,0.646,1,2,1,0.0,1,2,1
42.0,4.89,80.24,0.095,0,6,14,0.735,0,0,1,0.158,52,6,0
21.0,1.51,110.85,0.168,1,1,1,0.418,1,0,2,0.213,112,3,1
21.0,1.31,99.29,0.039,4,5,1,0.354,0,3,2,0.558,18,2,1
43.0,5.47,33.72,0.0,3,4,9,0.888,1,2,2,0.457,1,7,0
33.0,2.07,61.99,0.0,0,0,13,0.814,0,1,2,0.065,1,9,0
18.0,0.47,77.67,0.3,3,7,13,0.728,1,0,1,0.337,24,3,1
31.0,2.03,65.82,0.052,5,9,1,0.614,1,2,1,0.216,19,5,1
18.0,2.34,65.57,0.188,0,1,5,0.399,1,0,1,0.0,70,4,1
18.0,6.11,14.7,0.0,0,1,13,0.692,0,0,1,0.065,1,6,0
27.0,4.85,34.65,0.114,7,3,2,0.418,0,0,2,0.0,39,6,1
1.0,5.3,60.9,0.128,3,6,7,0.807,0,0,1,0.165,1,7,0
3.0,4.64,10.0,0.327,1,7,11,0.349,1,1,2,0.572,1,9,1
17.0,4.89,97.42,0.075,1,2,8,0.6,1,0,1,0.318,1,10,0
12.0,1.62,26.96,0.043,2,3,11,0.729,1,0,2,0.327,8,9,0
28.0,2.6,99.04,0.128,5,2,7,0.683,0,0,2,0.451,77,6,1
13.0,1.02,95.96,0.026,0,2,11,0.792,1,2,2,0.381,26,10,0
7.0,2.58,55.97,0.133,1,1,12,0.413,1,1,2,0.0,66,6,0
42.0,4.37,110.02,0.096,7,0,13,0.72,1,0,2,0.302,1,6,0
21.0,3.27,101.01,0.04,4,6,13,0.536,0,0,3,0.279,1,7,0
25.0,5.62,64.19,0.14,4,3,14,0.629,1,0,1,0.187,1,8,0
7.0,0.72,60.24,0.109,3,8,5,0.227,1,0,1,0.351,113,5,1
17.0,4.0,113.4,0.161,3,5,5,0.811,0,0,3,0.0,97,5,1
25.0,0.5,83.12,0.232,1,2,9,0.4,0,0,2,0.509,26,4,1
10.0,3.19,111.56,0.06,0,0,20,0.663,0,1,2,0.069,56,7,0
29.0,4.48,10.0,0.067,4,9,9,0.87,0,0,1,0.016,80,4,1
17.0,2.57,78.45,0.0,0,0,18,1.0,1,1,3,0.141,106,8,0
20.0,4.1,19.79,0.142,3,2,17,0.754,0,2,2,0.378,1,4,1
17.0,1.08,74.1,0.048,2,2,17,0.712,1,3,2,0.012,99,4,1
46.0,0.0,99.98,0.128,9,1,16,0.773,0,1,1,0.0,37,4,1
24.0,4.11,135.87,0.193,2,0,2,0.502,0,0,3,0.247,14,9,0
11.0,6.49,42.16,0.045,6,0,2,0.601,1,0,1,0.0,1,8,0
34.0,1.01,56.6,0.062,4,1,3,0.773,1,1,3,0.507,44,8,0
9.0,5.44,71.66,0.181,2,3,15,0.557,0,0,3,0.327,97,7,1
27.0,3.09,40.89,0.157,0,4,6,0.224,1,2,2,0.451,1,6,0
1.0,0.33,109.25,0.148,2,1,4,0.848,0,0,2,0.0,50,6,1
8.0,0.74,72.55,0.069,5,1,5,0.742,0,2,1,0.279,45,4,1
26.0,3.03,79.27,0.0,0,0,11,0.369,1,0,3,0.0,96,6,0
33.0,2.19,96.71,0.043,5,4,4,0.367,1,2,1,0.304,38,6,0
26.0,0.37,72.49,0.019,6,3,5,0.665,1,1,1,0.102,18,7,1
23.0,0.0,46.39,0.147,2,4,6,1.0,0,1,1,0.932,1,5,1
20.0,1.31,72.79,0.123,5,1,14,0.612,0,1,2,0.105,1,6,1
6.0,3.39,45.03,0.052,2,0,1,0.486,1,0,2,0.309,1,5,0
15.0,2.99,78.78,0.066,4,3,8,0.238,1,1,2,0.0,1,6,0
18.0,2.0,109.89,0.138,6,5,6,0.672,0,0,1,0.037,1,2,1
37.0,3.4,33.88,0.074,0,0,12,0.735,0,1,2,0.0,25,8,0
28.0,5.08,21.37,0.054,0,1,7,0.53,0,1,2,0.256,43,8,0
3.0,3.79,76.72,0.258,6,0,2,0.567,0,0,3,0.833,22,2,1
28.0,2.76,48.13,0.056,6,0,21,0.54,0,1,2,0.0,2,2,1
19.0,4.86,76.11,0.153,0,1,17,0.4,0,2,2,0.0,1,6,0
16.0,1.08,86.21,0.131,7,0,9,0.407,1,0,3,0.556,40,1,1
31.0,2.55,10.0,0.0,0,5,12,0.05,0,2,2,0.475,58,6,0
36.0,2.6,99.14,0.046,4,3,4,0.384,1,1,2,0.23,1,7,0
35.0,0.53,34.06,0.166,3,7,9,0.679,1,1,2,0.142,53,5,1
14.0,2.16,74.22,0.089,0,7,24,0.411,0,0,2,0.347,6,5,0
20.0,0.0,51.92,0.0,0,3,15,0.684,0,2,1,0.687,3,10,0
28.0,6.82,55.68,0.132,0,0,2,0.257,1,1,1,0.046,1,6,0
36.0,1.13,134.29,0.053,1,4,10,0.675,1,0,2,0.45,1,6,0
18.0,6.17,86.17,0.135,8,6,8,0.477,1,2,3,0.356,1,5,1
22.0,3.08,106.66,0.315,4,5,11,0.469,1,1,3,0.473,1,4,1
11.0,4.13,80.28,0.131,6,4,19,0.862,1,1,1,0.177,59,1,1
10.0,2.02,96.7,0.149,1,2,3,0.132,0,2,1,0.459,47,4,0
34.0,3.42,89.61,0.08,3,0,7,0.71,0,1,3,0.59,53,8,0
40.0,4.3,83.91,0.01,0,5,1,0.758,0,1,1,0.702,1,9,0
23.0,4.33,113.75,0.182,1,2,9,0.536,1,1,1,0.153,31,8,0
36.0,4.55,80.48,0.052,0,4,9,0.317,0,0,1,0.793,1,9,0
28.0,2.26,154.98,0.082,3,1,20,0.614,1,1,2,0.154,70,5,0
16.0,2.04,108.62,0.243,0,9,3,0.508,0,0,3,0.375,12,9,0
28.0,0.0,35.12,0.073,0,4,13,0.807,1,2,3,0.586,93,10,0
42.0,4.05,68.82,0.197,3,2,1,0.774,0,0,2,0.457,1,8,1
24.0,5.16,88.9,0.131,2,0,20,0.6,0,2,3,0.069,8,5,0
43.0,6.23,76.56,0.056,0,0,8,0.386,0,1,3,0.005,1,8,0
1.0,3.61,99.04,0.127,0,5,9,0.576,1,0,2,0.146,90,9,0
34.0,1.47,102.9,0.043,0,1,7,0.629,0,2,1,0.461,1,5,0
25.0,0.0,27.41,0.172,4,2,11,0.573,1,3,1,0.212,1,7,1
20.0,5.08,119.84,0.2,3,1,4,0.552,0,1,1,0.2,23,6,0
25.0,0.0,57.61,0.104,0,0,9,0.478,1,1,2,0.426,41,6,0
1.0,2.32,54.14,0.207,0,2,16,0.347,1,1,3,0.207,1,7,1
21.0,2.55,54.03,0.113,0,3,6,0.553,0,0,3,0.134,13,2,0
28.0,2.86,103.3,0.173,1,0,6,0.627,0,2,1,0.613,56,2,1
42.0,3.07,65.65,0.336,2,4,6,0.615,1,0,2,0.183,29,4,1
18.0,3.28,51.78,0.298,0,0,14,0.591,0,1,3,0.0,10,5,1
14.0,0.0,60.16,0.085,9,2,7,0.218,0,0,1,0.35,39,2,1
18.0,3.03,12.19,0.123,4,4,5,0.441,0,2,2,0.54,1,9,1
35.0,0.0,45.52,0.016,2,3,9,0.839,0,0,1,0.03,57,2,1
28.0,4.46,31.61,0.164,2,0,14,0.74,0,0,2,0.26,1,3,1
18.0,1.89,65.58,0.131,0,0,1,0.568,1,1,2,0.167,62,9,0
30.0,0.0,98.25,0.038,0,5,12,0.614,0,1,2,0.456,14,5,0
25.0,1.37,94.39,0.195,6,5,10,0.377,0,0,3,0.214,18,5,1
36.0,1.86,118.99,0.079,7,4,10,0.386,1,0,3,0.0,83,4,1
16.0,5.38,111.19,0.058,0,2,8,0.461,0,0,3,0.204,40,9,0
20.0,3.39,56.5,0.132,3,2,8,0.537,0,2,3,0.471,80,5,1
19.0,3.69,75.67,0.063,6,3,12,0.492,0,1,2,0.295,1,2,0
6.0,5.36,73.86,0.097,1,5,1,0.627,1,2,2,0.183,123,7,0
28.0,2.81,10.0,0.24,7,3,3,0.61,1,1,3,0.0,43,7,1
27.0,4.51,32.4,0.051,4,4,1,0.642,0,1,2,0.239,78,4,1
24.0,4.37,69.14,0.154,3,7,19,0.214,0,0,1,0.242,30,6,0
21.0,0.43,68.95,0.053,1,0,16,1.0,1,3,1,0.101,1,6,0
7.0,5.95,92.93,0.022,2,2,1,0.658,0,0,3,0.584,99,10,0
19.0,0.16,91.23,0.093,1,0,10,0.528,1,1,2,0.335,17,5,0
20.0,4.83,13.03,0.315,3,2,7,0.519,0,2,3,0.0,28,8,1
14.0,0.0,93.15,0.163,3,3,12,0.599,0,2,1,0.0,41,4,1
22.0,4.2,81.25,0.137,1,0,10,0.505,0,1,2,0.713,90,8,0
29.0,6.72,96.82,0.058,0,0,7,0.446,1,0,2,0.269,52,4,0
47.0,2.57,112.34,0.069,1,0,8,0.583,1,3,3,0.273,31,10,0
26.0,2.49,70.0,0.0,0,4,14,0.77,0,0,1,0.617,91,9,0
27.0,4.22,118.6,0.244,0,1,4,0.582,0,0,3,0.504,1,8,0
23.0,2.34,43.87,0.122,0,2,6,0.636,0,1,2,0.169,40,8,0
1.0,6.64,41.9,0.115,4,3,12,0.797,0,1,2,0.476,1,9,0
24.0,3.38,90.01,0.116,0,6,13,0.762,1,0,3,0.719,1,4,0
25.0,2.36,62.09,0.267,0,2,10,0.939,1,0,3,0.51,70,6,1
54.0,1.92,84.16,0.124,4,4,5,0.296,0,2,2,0.292,1,9,0
22.0,1.13,144.75,0.085,0,0,1,0.416,1,2,1,0.159,1,9,0
28.0,1.74,88.77,0.244,0,3,1,0.428,0,0,1,0.289,1,4,1
24.0,2.3,82.43,0.09,4,0,7,0.25,1,2,2,0.614,1,9,0
10.0,2.02,44.58,0.0,2,3,9,0.444,0,1,3,0.358,15,7,0
38.0,1.68,15.5,0.0,2,3,6,0.733,0,0,1,0.596,7,6,0
33.0,7.2,72.46,0.085,1,2,2,0.874,0,0,2,0.076,74,4,0
33.0,0.94,112.34,0.123,3,2,1,0.678,1,2,2,0.176,169,1,1
13.0,3.29,63.7,0.166,4,4,9,0.977,0,0,2,0.0,1,8,1
41.0,4.19,89.05,0.027,2,2,16,0.435,0,1,3,0.793,1,6,0
7.0,4.26,124.93,0.082,0,2,4,0.758,0,0,1,0.547,1,8,0
31.0,2.88,124.05,0.035,3,0,8,0.733,0,1,2,0.0,3,8,0
50.0,2.52,90.01,0.189,1,5,4,0.639,1,0,2,0.235,93,6,1
12.0,3.9,80.95,0.203,5,3,12,0.58,1,2,2,0.106,30,9,1
17.0,3.53,21.85,0.257,0,2,7,0.545,0,1,2,0.325,60,5,1
25.0,2.48,52.94,0.128,1,0,14,0.766,1,0,2,0.312,1,7,0
18.0,0.0,65.17,0.249,0,10,9,0.696,0,0,3,0.712,1,8,1
5.0,2.06,45.17,0.045,4,0,9,0.667,1,3,1,0.425,87,6,1
25.0,0.71,83.7,0.117,6,1,3,0.708,1,1,1,0.395,115,3,1
11.0,1.67,141.91,0.015,1,2,3,0.587,0,0,1,0.614,23,4,0
30.0,3.07,128.12,0.146,1,6,11,0.758,1,1,3,0.691,72,4,0
13.0,3.72,83.54,0.123,0,2,9,0.463,1,3,2,0.346,61,8,0
43.0,6.56,102.28,0.0,0,4,20,0.622,1,1,2,0.0,68,7,0
15.0,1.93,49.5,0.189,4,2,1,0.593,0,2,3,0.498,1,5,1
20.0,4.55,126.24,0.168,0,9,14,0.559,0,0,2,0.0,108,8,0
34.0,3.61,20.33,0.056,3,4,9,0.616,1,1,1,0.171,32,5,0
9.0,5.59,106.95,0.122,2,1,2,0.483,1,0,1,0.606,51,6,0
27.0,4.15,92.35,0.0,4,5,1,1.0,0,3,3,0.412,29,5,0
40.0,0.98,48.54,0.038,1,2,4,0.836,1,2,3,0.0,1,8,0
5.0,0.0,67.69,0.234,5,8,5,0.834,0,2,2,0.452,10,2,1
26.0,3.62,35.3,0.008,8,7,5,0.726,0,1,1,0.321,153,6,1
27.0,1.94,36.79,0.101,0,4,13,0.792,0,3,2,0.25,16,6,1
33.0,1.04,19.31,0.0,2,2,5,0.789,0,0,2,0.491,43,3,1
9.0,0.46,101.86,0.127,2,1,10,0.547,1,2,3,0.281,9,7,0
8.0,3.32,117.19,0.145,0,6,1,0.544,0,3,1,0.064,53,10,0
30.0,6.02,10.0,0.158,3,7,10,0.443,0,2,2,0.35,53,6,1
28.0,2.18,139.34,0.137,5,2,1,0.742,1,1,1,0.0,22,5,1
27.0,4.18,74.58,0.214,0,4,12,0.261,1,0,2,0.0,1,6,0
28.0,2.8,85.14,0.056,0,5,14,0.679,1,2,1,0.354,56,10,0
16.0,0.42,23.47,0.015,7,6,1,0.534,0,0,2,0.387,84,4,1
27.0,4.47,121.23,0.053,1,1,20,0.273,0,0,1,0.656,6,8,0
28.0,0.81,82.01,0.0,2,4,5,0.656,0,1,3,0.226,24,8,0
15.0,3.04,114.86,0.106,0,10,10,0.546,0,1,2,0.206,1,6,0
46.0,2.32,117.73,0.089,2,3,13,0.682,0,2,1,0.02,1,5,0
